U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
Metropolitan Statistical Area,131860,"Mankato-North Mankato, MN",17,30,13,16,14,11,17,9,9,21,13,28,198
Metropolitan Statistical Area,125060,"Gulfport-Biloxi, MS",19,27,27,22,11,14,6,11,14,16,16,12,195
Metropolitan Statistical Area,132780,"Medford, OR",18,14,24,11,13,13,18,15,13,14,24,13,190
Metropolitan Statistical Area,134060,"Morgantown, WV",14,11,14,21,11,10,10,14,12,20,31,19,187
Metropolitan Statistical Area,146340,"Tyler, TX",10,21,13,11,10,13,9,19,18,20,27,14,185
Metropolitan Statistical Area,112100,"Atlantic City-Hammonton, NJ",19,9,18,16,20,7,12,15,21,14,17,13,181
Metropolitan Statistical Area,115500,"Burlington, NC",15,26,19,18,15,15,12,4,13,10,11,23,181
Metropolitan Statistical Area,133260,"Midland, TX",16,16,11,8,12,10,19,13,15,18,21,18,177
Metropolitan Statistical Area,118880,"Crestview-Fort Walton Beach-Destin, FL",18,30,27,16,13,9,19,13,10,4,7,13,176
Metropolitan Statistical Area,125180,"Hagerstown-Martinsburg, MD-WV",12,16,27,21,12,10,13,10,10,16,12,16,175
Metropolitan Statistical Area,128660,"Killeen-Temple-Fort Hood, TX",14,20,19,16,17,16,17,16,8,11,10,10,174
Metropolitan Statistical Area,131740,"Manhattan, KS",12,15,14,13,17,13,9,14,12,14,19,21,173
Metropolitan Statistical Area,131420,"Macon, GA",20,13,16,16,19,12,13,15,12,11,14,10,171
Metropolitan Statistical Area,139460,"Punta Gorda, FL",16,20,15,18,12,13,9,14,10,14,17,16,171
Metropolitan Statistical Area,141980,"San Juan-Caguas-Guaynabo, PR",18,8,13,18,11,16,11,20,10,9,22,14,170
Metropolitan Statistical Area,141060,"St. Cloud, MN",23,10,15,18,19,15,13,9,15,6,10,18,168
Metropolitan Statistical Area,133860,"Montgomery, AL",15,17,21,15,18,14,17,10,13,12,12,3,166
Metropolitan Statistical Area,142680,"Sebastian-Vero Beach, FL",16,12,9,15,13,7,14,10,10,15,24,15,158
Metropolitan Statistical Area,111100,"Amarillo, TX",22,16,10,12,6,6,15,11,7,12,23,15,155
Metropolitan Statistical Area,134820,"Myrtle Beach-North Myrtle Beach-Conway, SC",5,8,14,13,11,16,13,13,12,16,15,16,152
Metropolitan Statistical Area,148140,"Wausau, WI",17,13,17,16,12,10,9,9,7,10,14,16,150
Metropolitan Statistical Area,117660,"Coeur d'Alene, ID",14,15,9,14,13,13,12,6,6,15,13,18,148
Metropolitan Statistical Area,139820,"Redding, CA",15,16,14,14,16,8,13,14,12,8,9,8,147
Metropolitan Statistical Area,134100,"Morristown, TN",8,6,21,23,15,13,11,6,9,16,9,9,146
Metropolitan Statistical Area,149420,"Yakima, WA",23,20,19,11,12,9,14,10,8,6,4,6,142
Metropolitan Statistical Area,129740,"Las Cruces, NM",9,16,11,9,8,9,11,16,5,11,21,15,141
Metropolitan Statistical Area,144220,"Springfield, OH",17,9,9,18,10,13,6,7,10,12,17,13,141
Metropolitan Statistical Area,133540,"Missoula, MT",13,16,17,15,10,17,13,8,7,7,12,5,140
Metropolitan Statistical Area,126580,"Huntington-Ashland, WV-KY-OH",15,14,19,11,9,6,9,7,17,8,14,7,136
Metropolitan Statistical Area,147380,"Waco, TX",13,11,17,11,12,11,8,10,10,6,6,19,134
Metropolitan Statistical Area,130140,"Lebanon, PA",15,15,11,9,5,12,10,7,15,9,10,14,132
Metropolitan Statistical Area,119460,"Decatur, AL",10,12,15,11,13,5,10,17,11,10,9,7,130
Metropolitan Statistical Area,117020,"Chico, CA",15,13,16,6,8,7,15,7,7,11,15,12,130
Metropolitan Statistical Area,124300,"Grand Junction, CO",10,17,13,10,12,7,8,11,10,7,13,11,129
Metropolitan Statistical Area,114540,"Bowling Green, KY",13,12,10,9,4,12,6,9,7,10,14,21,127
Metropolitan Statistical Area,129340,"Lake Charles, LA",19,19,14,17,10,6,9,4,11,8,3,7,127
Metropolitan Statistical Area,141100,"St. George, UT",6,14,13,8,13,12,7,7,10,9,13,15,127
Metropolitan Statistical Area,136220,"Odessa, TX",17,5,8,12,10,6,8,12,6,12,13,16,125
Metropolitan Statistical Area,147300,"Visalia-Porterville, CA",13,14,11,11,8,9,7,8,6,9,22,7,125
Metropolitan Statistical Area,124220,"Grand Forks, ND-MN",13,11,16,5,8,12,7,6,5,18,9,12,122
Metropolitan Statistical Area,128100,"Kankakee-Bradley, IL",5,10,10,7,10,21,7,10,10,6,15,11,122
Metropolitan Statistical Area,133140,"Michigan City-La Porte, IN",18,8,18,10,17,11,13,8,5,6,6,2,122
Metropolitan Statistical Area,134580,"Mount Vernon-Anacortes, WA",9,15,10,6,10,10,12,11,7,10,10,11,120
Metropolitan Statistical Area,117980,"Columbus, GA-AL",12,6,12,14,21,10,7,6,9,8,8,8,118
Metropolitan Statistical Area,149020,"Winchester, VA-WV",4,12,9,13,12,4,12,8,10,9,12,13,118
Metropolitan Statistical Area,113900,"Bismarck, ND",13,11,12,9,6,9,6,7,7,11,14,10,115
Metropolitan Statistical Area,119140,"Dalton, GA",12,10,14,13,11,9,10,10,10,5,3,7,114
Metropolitan Statistical Area,148540,"Wheeling, WV-OH",12,12,8,9,13,12,7,7,7,12,6,9,114
Metropolitan Statistical Area,122180,"Fayetteville, NC",9,10,4,8,15,14,9,7,8,7,11,11,113
Metropolitan Statistical Area,131020,"Longview, WA",9,12,8,6,6,9,14,6,12,8,11,11,112
Metropolitan Statistical Area,145820,"Topeka, KS",16,10,18,17,13,4,5,6,3,5,7,7,111
Metropolitan Statistical Area,112620,"Bangor, ME",5,8,7,10,10,8,7,10,9,5,15,15,109
Metropolitan Statistical Area,117300,"Clarksville, TN-KY",14,10,16,10,8,8,8,5,6,8,7,8,108
Metropolitan Statistical Area,117420,"Cleveland, TN",7,10,16,11,16,14,5,2,4,6,11,5,107
Metropolitan Statistical Area,122900,"Fort Smith, AR-OK",18,8,10,11,7,7,9,5,5,7,10,10,107
Metropolitan Statistical Area,120100,"Dover, DE",10,8,9,11,7,6,9,4,8,5,8,20,105
Metropolitan Statistical Area,145460,"Terre Haute, IN",7,11,12,15,8,12,11,6,9,3,7,4,105
Metropolitan Statistical Area,148660,"Wichita Falls, TX",14,11,15,15,5,4,7,5,8,7,7,5,103
Metropolitan Statistical Area,141140,"St. Joseph, MO-KS",5,6,7,13,12,8,11,8,4,9,8,10,101
Metropolitan Statistical Area,129420,"Lake Havasu City-Kingman, AZ",8,16,9,7,7,5,6,11,6,7,10,8,100
Metropolitan Statistical Area,127780,"Johnstown, PA",15,9,8,14,9,4,5,6,9,4,10,5,98
Metropolitan Statistical Area,113740,"Billings, MT",8,11,7,8,7,3,10,6,10,5,14,6,95
Metropolitan Statistical Area,122520,"Florence-Muscle Shoals, AL",11,16,12,7,5,12,8,4,5,2,6,6,94
Metropolitan Statistical Area,146220,"Tuscaloosa, AL",4,10,8,6,6,7,8,6,8,4,15,12,94
Metropolitan Statistical Area,131900,"Mansfield, OH",15,6,7,10,7,6,6,11,5,5,5,10,93
Metropolitan Statistical Area,133740,"Monroe, LA",10,15,12,5,5,9,8,5,6,4,9,5,93
Metropolitan Statistical Area,139380,"Pueblo, CO",5,6,3,5,7,3,4,8,7,9,21,15,93
Metropolitan Statistical Area,139660,"Rapid City, SD",11,8,5,6,5,7,8,10,6,5,8,14,93
Metropolitan Statistical Area,141540,"Salisbury, MD",11,16,11,11,2,1,5,4,9,6,6,11,93
Metropolitan Statistical Area,141780,"Sandusky, OH",7,8,8,3,11,8,5,5,4,7,9,20,92
Metropolitan Statistical Area,137380,"Palm Coast, FL",7,5,3,4,6,4,5,12,7,8,12,18,91
Metropolitan Statistical Area,121060,"Elizabethtown, KY",8,7,10,14,8,4,6,8,1,7,11,6,90
Metropolitan Statistical Area,131460,"Madera-Chowchilla, CA",13,5,4,3,9,8,7,9,9,7,8,5,87
Metropolitan Statistical Area,149700,"Yuba City, CA",10,9,6,11,8,5,4,8,10,4,9,3,87
Metropolitan Statistical Area,116180,"Carson City, NV",5,7,9,9,6,7,12,7,4,4,7,7,85
Metropolitan Statistical Area,125620,"Hattiesburg, MS",14,11,6,8,5,7,3,6,4,5,10,6,85
Metropolitan Statistical Area,136980,"Owensboro, KY",5,8,12,14,4,8,7,3,6,4,7,5,83
Metropolitan Statistical Area,134620,"Muncie, IN",8,7,7,6,9,9,7,6,4,4,1,10,78
Metropolitan Statistical Area,147220,"Vineland-Millville-Bridgeton, NJ",8,9,7,9,5,9,4,2,5,4,9,7,78
Metropolitan Statistical Area,138540,"Pocatello, ID",6,5,5,11,9,7,10,8,5,5,3,5,76
Metropolitan Statistical Area,132580,"McAllen-Edinburg-Mission, TX",17,6,6,9,7,3,7,5,4,7,3,1,75
Metropolitan Statistical Area,122140,"Farmington, NM",1,7,5,9,6,3,8,4,8,8,9,6,74
Metropolitan Statistical Area,137700,"Pascagoula, MS",8,8,11,7,11,3,5,7,7,1,4,1,73
Metropolitan Statistical Area,144600,"Steubenville-Weirton, OH-WV",6,8,4,5,9,6,10,6,6,5,5,2,72
Metropolitan Statistical Area,132900,"Merced, CA",8,9,8,5,9,7,6,4,2,5,3,4,70
Metropolitan Statistical Area,125500,"Harrisonburg, VA",9,2,12,3,6,4,3,3,6,4,9,8,69
Metropolitan Statistical Area,111020,"Altoona, PA",6,6,8,8,7,4,4,7,3,5,6,4,68
Metropolitan Statistical Area,127860,"Jonesboro, AR",3,5,3,8,4,4,4,5,10,2,10,8,66
Metropolitan Statistical Area,110780,"Alexandria, LA",8,7,4,3,7,3,5,7,5,4,6,6,65
Metropolitan Statistical Area,130340,"Lewiston-Auburn, ME",9,8,4,6,7,4,1,6,2,2,5,11,65
Metropolitan Statistical Area,140580,"Rocky Mount, NC",4,3,2,3,5,2,4,8,10,7,10,5,63
Metropolitan Statistical Area,116020,"Cape Girardeau-Jackson, MO-IL",5,6,2,7,5,4,8,7,3,5,8,5,62
Metropolitan Statistical Area,140660,"Rome, GA",4,7,4,4,4,6,6,4,4,6,7,3,59
Metropolitan Statistical Area,145500,"Texarkana, TX-Texarkana, AR",6,6,5,6,5,5,8,5,5,2,3,1,57
Metropolitan Statistical Area,111500,"Anniston-Oxford, AL",6,3,3,4,7,6,7,8,2,1,8,1,56
Metropolitan Statistical Area,115180,"Brownsville-Harlingen, TX",5,6,6,5,4,3,5,2,7,4,3,5,55
Metropolitan Statistical Area,115260,"Brunswick, GA",11,6,3,8,7,1,4,1,1,5,6,2,55
Metropolitan Statistical Area,126300,"Hot Springs, AR",4,4,5,4,5,5,4,5,2,4,4,9,55
Metropolitan Statistical Area,120020,"Dothan, AL",8,9,5,4,6,4,5,3,2,1,2,4,53
Metropolitan Statistical Area,147580,"Warner Robins, GA",7,6,4,2,6,5,7,5,2,3,1,5,53
Metropolitan Statistical Area,148300,"Wenatchee-East Wenatchee, WA",5,7,5,3,3,3,5,3,5,3,5,6,53
Metropolitan Statistical Area,110500,"Albany, GA",8,6,10,7,2,4,1,2,4,3,3,2,52
Metropolitan Statistical Area,136140,"Ocean City, NJ",7,8,6,2,1,5,7,4,1,2,4,4,51
Metropolitan Statistical Area,130620,"Lima, OH",4,11,6,7,3,3,3,5,2,1,3,5,51
Metropolitan Statistical Area,110180,"Abilene, TX",0,5,6,4,10,2,6,2,4,2,7,2,50
Metropolitan Statistical Area,127620,"Jefferson City, MO",8,8,6,5,5,4,0,3,1,3,5,2,50
Metropolitan Statistical Area,149740,"Yuma, AZ",1,4,5,5,1,6,9,6,3,3,1,6,50
Metropolitan Statistical Area,116940,"Cheyenne, WY",3,4,7,3,5,3,3,4,6,1,9,0,48
Metropolitan Statistical Area,119180,"Danville, IL",4,9,3,6,2,5,2,0,2,2,6,5,46
Metropolitan Statistical Area,147020,"Victoria, TX",6,4,3,7,2,7,1,2,2,4,1,4,43
Metropolitan Statistical Area,146660,"Valdosta, GA",6,1,3,5,4,5,2,3,5,0,2,4,40
Metropolitan Statistical Area,144940,"Sumter, SC",2,3,1,5,1,6,2,4,5,6,1,3,39
Metropolitan Statistical Area,123460,"Gadsden, AL",4,6,5,5,3,3,3,1,2,4,1,2,37
Metropolitan Statistical Area,119060,"Cumberland, MD-WV",1,7,4,0,2,4,4,3,2,0,1,4,32
Metropolitan Statistical Area,132420,"Mayagüez, PR",3,3,1,5,4,3,3,3,1,2,1,3,32
Metropolitan Statistical Area,119260,"Danville, VA",4,4,7,3,3,3,0,1,3,1,1,1,31
Metropolitan Statistical Area,121820,"Fairbanks, AK",3,6,2,2,2,2,3,2,2,4,3,3,31
Metropolitan Statistical Area,124500,"Great Falls, MT",7,5,0,1,2,4,0,4,0,5,1,2,31
Metropolitan Statistical Area,110380,"Aguadilla-Isabela-San Sebastián, PR",1,0,0,2,1,6,5,2,2,2,1,8,30
Metropolitan Statistical Area,125260,"Hanford-Corcoran, CA",4,1,2,2,3,0,4,4,1,3,3,2,29
Metropolitan Statistical Area,127340,"Jacksonville, NC",1,1,5,1,4,2,3,1,4,2,1,3,28
Metropolitan Statistical Area,116220,"Casper, WY",2,2,4,4,3,4,2,1,1,3,2,3,27
Metropolitan Statistical Area,120940,"El Centro, CA",3,4,4,4,2,2,1,2,1,1,4,0,27
Metropolitan Statistical Area,141660,"San Angelo, TX",3,3,2,3,3,0,4,3,1,2,2,1,27
Metropolitan Statistical Area,130300,"Lewiston, ID-WA",3,3,3,3,3,3,2,1,1,1,2,1,26
Metropolitan Statistical Area,124140,"Goldsboro, NC",3,1,7,0,0,3,4,0,0,1,1,5,25
Metropolitan Statistical Area,130020,"Lawton, OK",5,2,2,2,3,1,0,1,0,1,4,3,24
Metropolitan Statistical Area,138220,"Pine Bluff, AR",3,3,3,1,1,2,5,1,2,0,1,2,24
Metropolitan Statistical Area,129700,"Laredo, TX",2,1,3,0,1,1,1,2,4,0,1,2,18
Metropolitan Statistical Area,125980,"Hinesville-Fort Stewart, GA",0,1,1,0,0,1,0,0,0,1,3,2,9
Metropolitan Statistical Area,138660,"Ponce, PR",1,0,0,0,1,1,1,1,0,0,0,0,5
Metropolitan Statistical Area,125020,"Guayama, PR",0,0,0,0,1,0,2,0,0,0,0,1,4
Metropolitan Statistical Area,141900,"San Germán-Cabo Rojo, PR",0,0,0,2,0,0,1,0,0,1,0,0,4
Metropolitan Statistical Area,149500,"Yauco, PR",1,0,1,0,0,0,0,1,0,0,0,0,3
Metropolitan Statistical Area,121940,"Fajardo, PR",1,0,0,0,0,0,0,0,1,0,0,0,2
Metropolitan Statistical Area,,-- Subtotal --,80230,82755,82372,83245,79782,70838,85465,75753,74027,78799,103117,103888,1000271
