U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
Metropolitan Statistical Area,141620,"Salt Lake City, UT",374,388,362,343,337,260,322,309,273,327,443,494,4232
Metropolitan Statistical Area,140140,"Riverside-San Bernardino-Ontario, CA",362,358,380,392,355,308,364,293,291,295,425,376,4198
Metropolitan Statistical Area,135300,"New Haven-Milford, CT",385,375,347,337,323,331,330,296,262,312,429,421,4148
Metropolitan Statistical Area,118140,"Columbus, OH",342,361,355,345,386,256,326,255,265,303,463,445,4102
Metropolitan Statistical Area,114740,"Bremerton-Silverdale, WA",208,222,245,242,214,242,318,340,366,482,608,537,4021
Metropolitan Statistical Area,140340,"Rochester, MN",262,265,254,262,287,267,320,264,333,380,492,469,3855
Metropolitan Statistical Area,145940,"Trenton-Ewing, NJ",349,366,370,315,261,229,317,262,287,286,399,383,3821
Metropolitan Statistical Area,110420,"Akron, OH",318,359,379,343,329,273,335,266,250,282,333,352,3819
Metropolitan Statistical Area,110900,"Allentown-Bethlehem-Easton, PA-NJ",387,384,316,311,286,255,271,269,245,287,324,306,3641
Metropolitan Statistical Area,131540,"Madison, WI",238,258,269,276,228,224,299,250,256,316,398,382,3394
Metropolitan Statistical Area,137340,"Palm Bay-Melbourne-Titusville, FL",217,277,291,293,296,314,302,299,228,248,272,287,3322
Metropolitan Statistical Area,131700,"Manchester-Nashua, NH",260,257,278,304,283,230,263,258,226,262,327,327,3271
Metropolitan Statistical Area,115380,"Buffalo-Niagara Falls, NY",363,354,333,361,324,218,229,202,177,204,237,256,3258
Metropolitan Statistical Area,136740,"Orlando-Kissimmee-Sanford, FL",183,253,221,248,253,235,252,220,209,246,303,324,2946
Metropolitan Statistical Area,117820,"Colorado Springs, CO",272,278,264,309,281,252,242,190,181,173,201,197,2840
Metropolitan Statistical Area,118700,"Corvallis, OR",131,155,198,211,247,259,323,290,265,229,250,202,2760
Metropolitan Statistical Area,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",273,261,245,216,185,171,209,185,190,211,309,283,2735
Metropolitan Statistical Area,110740,"Albuquerque, NM",223,251,248,241,246,177,209,187,182,199,257,250,2670
Metropolitan Statistical Area,141700,"San Antonio-New Braunfels, TX",245,238,223,207,200,149,198,187,149,169,315,327,2607
Metropolitan Statistical Area,142060,"Santa Barbara-Santa Maria-Goleta, CA",171,186,188,229,201,209,211,238,173,207,255,274,2542
Metropolitan Statistical Area,119380,"Dayton, OH",274,259,288,288,238,171,188,167,147,153,182,185,2540
Metropolitan Statistical Area,139340,"Provo-Orem, UT",132,127,133,124,151,109,155,162,199,242,323,325,2182
Metropolitan Statistical Area,130460,"Lexington-Fayette, KY",176,203,179,170,155,134,184,189,201,157,230,187,2165
Metropolitan Statistical Area,129820,"Las Vegas-Paradise, NV",167,156,141,181,169,191,171,195,189,144,225,231,2160
Metropolitan Statistical Area,142220,"Santa Rosa-Petaluma, CA",148,154,173,171,216,186,212,163,140,177,213,198,2151
Metropolitan Statistical Area,124540,"Greeley, CO",118,145,153,163,198,203,233,187,160,174,192,191,2113
Metropolitan Statistical Area,137900,"Peoria, IL",236,188,186,179,132,128,137,144,170,165,215,233,2113
Metropolitan Statistical Area,124860,"Greenville-Mauldin-Easley, SC",136,178,181,167,152,147,201,146,134,163,189,282,2076
Metropolitan Statistical Area,140060,"Richmond, VA",166,161,169,181,168,132,155,143,143,156,258,224,2056
Metropolitan Statistical Area,132820,"Memphis, TN-MS-AR",153,144,142,141,133,107,161,159,130,185,296,302,2052
Metropolitan Statistical Area,113780,"Binghamton, NY",221,237,206,215,185,152,196,157,121,106,116,117,2029
Metropolitan Statistical Area,139900,"Reno-Sparks, NV",115,115,122,165,186,145,168,132,149,160,264,276,1998
Metropolitan Statistical Area,119780,"Des Moines-West Des Moines, IA",119,188,116,147,143,140,178,183,143,189,174,233,1953
Metropolitan Statistical Area,124340,"Grand Rapids-Wyoming, MI",174,194,195,181,165,140,141,127,135,117,159,189,1917
Metropolitan Statistical Area,145060,"Syracuse, NY",195,147,140,157,144,147,174,161,123,119,164,188,1859
Metropolitan Statistical Area,128940,"Knoxville, TN",170,183,174,167,140,123,127,136,122,120,202,188,1852
Metropolitan Statistical Area,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155,164,151,159,151,113,149,116,126,130,196,212,1822
Metropolitan Statistical Area,111540,"Appleton, WI",148,175,187,197,199,145,131,112,109,78,118,111,1710
Metropolitan Statistical Area,126100,"Holland-Grand Haven, MI",166,165,178,146,129,128,135,106,140,128,133,133,1684
Metropolitan Statistical Area,147260,"Virginia Beach-Norfolk-Newport News, VA-NC",148,149,161,169,137,125,121,127,121,108,161,111,1638
Metropolitan Statistical Area,136420,"Oklahoma City, OK",178,176,156,146,115,113,148,136,111,100,120,127,1626
Metropolitan Statistical Area,145780,"Toledo, OH",202,190,147,129,130,104,119,103,110,105,136,143,1615
Metropolitan Statistical Area,131140,"Louisville/Jefferson County, KY-IN",147,148,120,152,168,116,125,113,101,96,159,156,1601
Metropolitan Statistical Area,135980,"Norwich-New London, CT",165,175,186,184,141,154,139,104,86,86,94,84,1598
Metropolitan Statistical Area,115940,"Canton-Massillon, OH",108,110,140,136,117,105,141,133,135,135,148,166,1574
Metropolitan Statistical Area,126620,"Huntsville, AL",103,126,132,147,138,114,122,107,112,115,201,148,1565
Metropolitan Statistical Area,123060,"Fort Wayne, IN",153,144,180,142,148,101,93,99,92,99,126,118,1495
Metropolitan Statistical Area,146140,"Tulsa, OK",135,154,118,138,133,107,130,106,94,91,152,135,1493
Metropolitan Statistical Area,136780,"Oshkosh-Neenah, WI",128,117,132,146,140,124,101,105,86,90,145,129,1443
Metropolitan Statistical Area,125420,"Harrisburg-Carlisle, PA",142,114,123,114,142,93,120,104,104,97,151,128,1432
Metropolitan Statistical Area,116300,"Cedar Rapids, IA",101,104,129,121,103,82,82,88,106,174,148,175,1413
Metropolitan Statistical Area,127260,"Jacksonville, FL",111,106,114,132,124,106,122,107,91,84,168,143,1408
Metropolitan Statistical Area,124660,"Greensboro-High Point, NC",129,121,122,142,145,103,129,95,66,73,120,151,1396
Metropolitan Statistical Area,144140,"Springfield, MA",111,136,167,126,89,89,132,96,85,125,118,120,1392
Metropolitan Statistical Area,136260,"Ogden-Clearfield, UT",131,117,113,102,126,101,127,88,103,93,133,133,1367
Metropolitan Statistical Area,135380,"New Orleans-Metairie-Kenner, LA",155,161,169,120,120,70,115,85,78,86,100,97,1356
Metropolitan Statistical Area,129540,"Lancaster, PA",111,114,92,124,134,102,116,95,77,101,120,119,1305
Metropolitan Statistical Area,135840,"North Port-Bradenton-Sarasota, FL",108,114,87,106,103,109,110,109,95,93,130,133,1294
Metropolitan Statistical Area,138860,"Portland-South Portland-Biddeford, ME",74,94,102,99,80,111,109,79,74,92,163,133,1210
Metropolitan Statistical Area,123540,"Gainesville, FL",101,118,95,101,84,96,114,85,77,114,110,108,1203
Metropolitan Statistical Area,148620,"Wichita, KS",97,74,94,107,110,88,120,73,73,88,105,105,1134
Metropolitan Statistical Area,127060,"Ithaca, NY",92,85,83,100,105,78,98,87,74,83,123,115,1123
Metropolitan Statistical Area,128020,"Kalamazoo-Portage, MI",109,113,104,103,101,111,97,67,77,58,73,88,1101
Metropolitan Statistical Area,122420,"Flint, MI",81,84,110,100,87,93,105,90,64,94,84,85,1077
Metropolitan Statistical Area,136540,"Omaha-Council Bluffs, NE-IA",95,88,88,93,88,70,79,79,102,89,103,98,1072
Metropolitan Statistical Area,116580,"Champaign-Urbana, IL",62,57,57,67,95,58,107,97,78,107,121,136,1042
Metropolitan Statistical Area,149620,"York-Hanover, PA",83,81,107,93,72,66,88,68,92,67,113,112,1042
Metropolitan Statistical Area,112940,"Baton Rouge, LA",167,147,103,115,85,73,59,68,61,45,51,64,1038
Metropolitan Statistical Area,128700,"Kingsport-Bristol-Bristol, TN-VA",126,122,122,101,84,53,43,76,64,67,65,96,1019
Metropolitan Statistical Area,140420,"Rockford, IL",101,104,83,85,59,58,85,91,65,68,93,117,1009
Metropolitan Statistical Area,113820,"Birmingham-Hoover, AL",64,94,98,109,91,82,88,69,56,74,92,86,1003
Metropolitan Statistical Area,139540,"Racine, WI",89,78,114,96,90,74,82,66,71,67,78,78,983
Metropolitan Statistical Area,149180,"Winston-Salem, NC",82,89,90,78,86,61,69,80,65,72,101,102,975
Metropolitan Statistical Area,129140,"Lafayette, IN",88,75,85,80,65,69,61,77,59,84,122,101,966
Metropolitan Statistical Area,129620,"Lansing-East Lansing, MI",84,79,104,88,56,71,63,73,68,72,80,79,917
Metropolitan Statistical Area,139740,"Reading, PA",130,116,104,96,87,62,60,46,60,37,60,56,914
Metropolitan Statistical Area,143780,"South Bend-Mishawaka, IN-MI",69,82,70,91,73,70,76,66,66,61,79,90,893
Metropolitan Statistical Area,121500,"Erie, PA",103,97,86,73,60,64,71,61,54,57,63,77,866
Metropolitan Statistical Area,128740,"Kingston, NY",78,70,76,62,71,58,70,79,59,69,82,90,864
Metropolitan Statistical Area,142020,"San Luis Obispo-Paso Robles, CA",73,59,56,99,85,69,77,43,52,56,68,64,801
Metropolitan Statistical Area,143900,"Spartanburg, SC",59,73,86,99,76,76,83,50,43,56,47,53,801
Metropolitan Statistical Area,125860,"Hickory-Lenoir-Morganton, NC",73,78,75,74,62,71,65,69,63,45,73,49,797
Metropolitan Statistical Area,138940,"Port St. Lucie, FL",43,60,41,46,57,54,52,69,33,77,113,138,783
Metropolitan Statistical Area,119340,"Davenport-Moline-Rock Island, IA-IL",44,70,74,84,80,45,57,59,56,49,71,92,781
Metropolitan Statistical Area,128420,"Kennewick-Pasco-Richland, WA",59,56,65,93,74,64,79,40,48,51,74,69,772
Metropolitan Statistical Area,144060,"Spokane, WA",53,56,72,62,72,56,79,68,59,49,73,73,772
Metropolitan Statistical Area,121660,"Eugene-Springfield, OR",73,75,66,71,43,56,62,68,52,57,84,56,763
Metropolitan Statistical Area,116820,"Charlottesville, VA",72,70,50,65,50,38,52,55,56,47,82,101,738
Metropolitan Statistical Area,117900,"Columbia, SC",69,76,58,63,67,48,62,41,40,53,61,86,724
Metropolitan Statistical Area,111180,"Ames, IA",65,75,42,58,62,46,64,61,51,69,71,58,722
Metropolitan Statistical Area,116700,"Charleston-North Charleston-Summerville, SC",82,65,93,63,71,52,52,41,36,46,55,62,718
Metropolitan Statistical Area,142540,"Scranton--Wilkes-Barre, PA",80,67,68,60,69,51,51,58,60,54,48,50,716
Metropolitan Statistical Area,112540,"Bakersfield-Delano, CA",66,68,56,61,74,48,43,60,58,55,51,70,710
Metropolitan Statistical Area,149660,"Youngstown-Warren-Boardman, OH-PA",67,62,80,51,57,43,61,46,55,54,71,57,704
Metropolitan Statistical Area,113980,"Blacksburg-Christiansburg-Radford, VA",42,36,55,58,65,69,71,66,63,51,61,53,690
Metropolitan Statistical Area,121780,"Evansville, IN-KY",66,38,65,44,57,52,47,57,56,52,81,69,684
Metropolitan Statistical Area,141500,"Salinas, CA",54,57,68,51,59,64,55,54,47,45,57,73,684
Metropolitan Statistical Area,130700,"Lincoln, NE",83,64,62,46,52,51,51,64,51,50,59,50,683
Metropolitan Statistical Area,121300,"Elmira, NY",46,78,76,84,75,51,37,44,28,29,48,60,656
Metropolitan Statistical Area,144300,"State College, PA",56,72,64,60,55,42,43,51,47,36,66,64,656
Metropolitan Statistical Area,126180,"Honolulu, HI",52,71,57,50,47,32,54,46,56,43,77,63,648
Metropolitan Statistical Area,129020,"Kokomo, IN",44,45,46,57,59,50,55,66,62,65,55,39,643
Metropolitan Statistical Area,126980,"Iowa City, IA",42,70,53,47,38,34,52,42,53,51,85,58,625
Metropolitan Statistical Area,111700,"Asheville, NC",59,63,70,53,56,60,53,38,31,49,38,42,612
Metropolitan Statistical Area,135660,"Niles-Benton Harbor, MI",48,36,29,40,34,33,55,48,40,52,74,104,593
Metropolitan Statistical Area,140220,"Roanoke, VA",60,54,46,40,40,48,51,46,40,36,50,67,578
Metropolitan Statistical Area,130780,"Little Rock-North Little Rock-Conway, AR",75,73,48,37,37,49,46,36,30,36,58,48,573
Metropolitan Statistical Area,144700,"Stockton, CA",56,51,58,52,40,36,46,41,32,34,54,62,562
Metropolitan Statistical Area,129180,"Lafayette, LA",56,56,51,53,46,41,40,43,39,44,38,54,561
Metropolitan Statistical Area,119660,"Deltona-Daytona Beach-Ormond Beach, FL",59,52,51,51,44,37,42,44,36,44,49,46,555
Metropolitan Statistical Area,134940,"Naples-Marco Island, FL",42,32,43,59,32,43,69,53,28,39,46,61,547
Metropolitan Statistical Area,126820,"Idaho Falls, ID",37,38,44,35,39,43,61,61,32,36,69,51,546
Metropolitan Statistical Area,117780,"College Station-Bryan, TX",44,46,63,51,46,37,48,53,29,33,50,45,545
Metropolitan Statistical Area,130860,"Logan, UT-ID",48,42,32,35,34,45,46,34,34,64,68,55,537
Metropolitan Statistical Area,116860,"Chattanooga, TN-GA",60,71,53,44,53,43,36,35,37,29,40,33,534
Metropolitan Statistical Area,146700,"Vallejo-Fairfield, CA",37,48,38,42,45,38,44,38,45,45,60,50,529
Metropolitan Statistical Area,118020,"Columbus, IN",60,51,47,52,42,39,37,33,30,38,48,45,522
Metropolitan Statistical Area,140980,"Saginaw-Saginaw Township North, MI",40,26,62,64,55,33,41,35,27,34,49,55,521
Metropolitan Statistical Area,112260,"Augusta-Richmond County, GA-SC",38,50,61,44,29,29,31,41,41,39,56,52,511
Metropolitan Statistical Area,121140,"Elkhart-Goshen, IN",50,47,39,43,53,47,39,44,27,30,43,44,506
Metropolitan Statistical Area,145220,"Tallahassee, FL",31,26,50,42,40,46,37,34,25,36,72,55,494
Metropolitan Statistical Area,115980,"Cape Coral-Fort Myers, FL",42,49,39,46,50,39,47,26,39,33,44,37,491
Metropolitan Statistical Area,148900,"Wilmington, NC",33,56,44,46,44,23,33,41,32,52,38,49,491
Metropolitan Statistical Area,112700,"Barnstable Town, MA",50,46,32,42,44,33,46,40,39,35,45,32,484
Metropolitan Statistical Area,123420,"Fresno, CA",58,40,44,36,40,39,33,27,25,31,39,56,468
Metropolitan Statistical Area,143100,"Sheboygan, WI",33,43,50,38,45,38,37,23,27,44,47,35,460
Metropolitan Statistical Area,113460,"Bend, OR",31,31,24,21,29,44,46,39,37,49,46,61,458
Metropolitan Statistical Area,114020,"Bloomington, IN",21,27,29,40,26,27,29,24,22,38,91,77,451
Metropolitan Statistical Area,141420,"Salem, OR",38,43,41,37,50,32,44,41,23,26,37,38,450
Metropolitan Statistical Area,124580,"Green Bay, WI",45,54,42,35,31,36,50,32,28,29,30,31,443
Metropolitan Statistical Area,122020,"Fargo, ND-MN",47,40,30,21,17,30,31,39,43,35,55,54,442
Metropolitan Statistical Area,133780,"Monroe, MI",38,42,36,35,48,18,37,23,35,34,47,46,439
Metropolitan Statistical Area,112020,"Athens-Clarke County, GA",66,46,37,29,27,23,26,26,40,30,40,48,438
Metropolitan Statistical Area,142140,"Santa Fe, NM",30,37,29,40,34,20,46,27,30,33,63,47,436
Metropolitan Statistical Area,113380,"Bellingham, WA",41,31,32,34,31,32,39,42,32,33,45,43,435
Metropolitan Statistical Area,122220,"Fayetteville-Springdale-Rogers, AR-MO",48,31,47,32,42,30,39,31,26,32,31,42,431
Metropolitan Statistical Area,137860,"Pensacola-Ferry Pass-Brent, FL",52,31,27,42,28,44,28,40,31,29,33,40,425
Metropolitan Statistical Area,121340,"El Paso, TX",29,32,46,45,51,36,39,33,25,16,23,23,398
Metropolitan Statistical Area,133700,"Modesto, CA",42,54,35,32,32,14,37,30,23,19,34,43,395
Metropolitan Statistical Area,143580,"Sioux City, IA-NE-SD",32,34,50,42,43,38,40,22,24,18,25,17,385
Metropolitan Statistical Area,120740,"Eau Claire, WI",36,34,29,32,45,40,33,20,24,23,33,22,371
Metropolitan Statistical Area,122500,"Florence, SC",42,30,34,27,37,26,47,30,20,20,25,21,359
Metropolitan Statistical Area,147940,"Waterloo-Cedar Falls, IA",23,33,42,32,32,32,31,24,21,31,25,29,355
Metropolitan Statistical Area,144180,"Springfield, MO",34,42,32,31,24,18,24,32,30,24,32,26,349
Metropolitan Statistical Area,136500,"Olympia, WA",21,30,35,28,27,20,33,28,34,21,34,36,347
Metropolitan Statistical Area,129460,"Lakeland-Winter Haven, FL",39,39,31,40,37,19,20,27,26,18,16,38,347
Metropolitan Statistical Area,131340,"Lynchburg, VA",37,38,41,31,23,26,17,27,26,21,23,31,341
Metropolitan Statistical Area,116620,"Charleston, WV",43,49,44,34,19,28,20,25,12,22,22,19,337
Metropolitan Statistical Area,122380,"Flagstaff, AZ",27,25,24,26,23,25,19,13,19,20,41,58,319
Metropolitan Statistical Area,117860,"Columbia, MO",22,32,27,30,24,19,32,18,12,18,31,39,304
Metropolitan Statistical Area,127140,"Jackson, MS",42,32,20,37,28,23,13,24,13,18,23,31,304
Metropolitan Statistical Area,134900,"Napa, CA",21,29,17,29,28,20,26,25,15,27,31,32,299
Metropolitan Statistical Area,122540,"Fond du Lac, WI",32,25,26,27,28,32,31,27,26,10,18,16,298
Metropolitan Statistical Area,127100,"Jackson, MI",34,26,39,32,30,22,22,19,22,15,18,18,297
Metropolitan Statistical Area,127180,"Jackson, TN",20,20,23,29,21,32,49,28,23,11,19,16,291
Metropolitan Statistical Area,127740,"Johnson City, TN",21,28,47,33,15,19,19,19,20,17,27,26,291
Metropolitan Statistical Area,111260,"Anchorage, AK",31,33,33,30,28,25,25,10,12,29,19,15,290
Metropolitan Statistical Area,127500,"Janesville, WI",21,33,24,21,18,17,23,21,19,21,27,38,283
Metropolitan Statistical Area,137460,"Panama City-Lynn Haven-Panama City Beach, FL",27,31,34,28,25,31,26,25,15,13,15,7,275
Metropolitan Statistical Area,131180,"Lubbock, TX",31,32,38,28,15,17,29,18,20,21,14,11,274
Metropolitan Statistical Area,111340,"Anderson, SC",23,31,25,28,22,19,26,14,20,13,19,25,265
Metropolitan Statistical Area,137620,"Parkersburg-Marietta-Vienna, WV-OH",30,28,26,21,20,12,19,27,19,12,26,18,258
Metropolitan Statistical Area,127900,"Joplin, MO",29,26,24,27,33,11,22,17,16,21,18,12,256
Metropolitan Statistical Area,138340,"Pittsfield, MA",33,30,27,21,23,10,15,16,6,26,23,26,256
Metropolitan Statistical Area,148700,"Williamsport, PA",16,21,44,23,23,16,19,16,18,14,23,20,253
Metropolitan Statistical Area,113020,"Bay City, MI",22,23,21,30,22,21,20,23,18,21,12,15,248
Metropolitan Statistical Area,112220,"Auburn-Opelika, AL",22,16,27,19,18,18,14,23,20,26,23,24,247
Metropolitan Statistical Area,146540,"Utica-Rome, NY",23,23,14,19,24,17,25,16,17,15,23,29,245
Metropolitan Statistical Area,134740,"Muskegon-Norton Shores, MI",28,37,36,25,25,14,15,16,10,15,10,16,244
Metropolitan Statistical Area,114060,"Bloomington-Normal, IL",22,13,22,32,13,23,14,18,27,23,13,23,243
Metropolitan Statistical Area,118580,"Corpus Christi, TX",29,31,23,21,22,17,16,12,14,17,19,18,239
Metropolitan Statistical Area,133660,"Mobile, AL",26,31,20,19,17,16,29,20,10,19,18,13,238
Metropolitan Statistical Area,144100,"Springfield, IL",23,22,33,13,7,14,12,20,14,21,32,25,236
Metropolitan Statistical Area,123580,"Gainesville, GA",17,24,12,20,20,22,27,19,13,17,23,19,233
Metropolitan Statistical Area,112980,"Battle Creek, MI",24,26,19,20,19,22,24,16,12,11,13,26,232
Metropolitan Statistical Area,113140,"Beaumont-Port Arthur, TX",30,29,14,23,14,13,16,22,12,14,22,23,232
Metropolitan Statistical Area,129100,"La Crosse, WI-MN",29,27,22,26,16,14,10,15,16,15,22,18,230
Metropolitan Statistical Area,129940,"Lawrence, KS",24,10,30,18,11,16,17,18,14,20,23,25,226
Metropolitan Statistical Area,136100,"Ocala, FL",19,19,24,22,12,16,21,23,11,18,23,20,226
Metropolitan Statistical Area,143620,"Sioux Falls, SD",28,20,19,16,14,12,10,16,14,13,25,35,222
Metropolitan Statistical Area,143340,"Shreveport-Bossier City, LA",13,23,22,20,10,10,20,6,13,20,32,31,220
Metropolitan Statistical Area,139140,"Prescott, AZ",16,24,18,22,20,13,23,18,22,14,17,13,219
Metropolitan Statistical Area,111300,"Anderson, IN",11,22,24,26,26,27,18,5,7,9,22,17,214
Metropolitan Statistical Area,126380,"Houma-Bayou Cane-Thibodaux, LA",17,23,14,15,15,23,25,21,10,22,22,7,214
Metropolitan Statistical Area,120220,"Dubuque, IA",17,28,18,14,8,16,13,18,15,14,27,25,213
Metropolitan Statistical Area,143300,"Sherman-Denison, TX",18,24,26,23,21,20,19,18,10,10,11,11,211
Metropolitan Statistical Area,130980,"Longview, TX",27,23,21,15,14,12,13,12,19,8,17,26,207
Metropolitan Statistical Area,119500,"Decatur, IL",17,17,22,22,18,17,12,10,11,14,21,24,205
Metropolitan Statistical Area,120260,"Duluth, MN-WI",15,10,25,26,18,12,14,15,10,19,14,26,204
Metropolitan Statistical Area,124020,"Glens Falls, NY",26,27,19,17,14,15,14,21,11,16,11,14,203
Metropolitan Statistical Area,142340,"Savannah, GA",15,24,16,15,21,16,15,15,14,12,14,23,200
Metropolitan Statistical Area,124780,"Greenville, NC",21,16,16,13,14,10,14,15,13,15,26,26,199
