GeoFips,GeoName,2008,2009,2010,2011,2012
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",228381,230826,232207,233059,233943
,,,,,,
16620,"Charleston, WV (Metropolitan Statistical Area)",226811,227421,227008,225891,225837
,,,,,,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",643613,655447,667719,681632,697497
,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2151756,2195856,2223635,2256758,2294990
,,,,,,
16820,"Charlottesville, VA (Metropolitan Statistical Area)",214672,217176,219031,221052,222696
,,,,,,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",518778,524082,529107,533155,537854
,,,,,,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",89077,90430,92052,92447,94627
,,,,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",9384555,9429498,9470335,9491283,9514059
,,,,,,
17020,"Chico, CA (Metropolitan Statistical Area)",219034,219777,219914,219913,221016
,,,,,,
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2095040,2107649,2117344,2122984,2129309
,,,,,,
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",248331,256545,261827,264456,275081
,,,,,,
17420,"Cleveland, TN (Metropolitan Statistical Area)",114306,115090,115966,116662,117711
,,,,,,
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2085110,2081063,2075690,2068606,2064739
,,,,,,
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",135627,137407,138892,141081,142278
,,,,,,
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",218658,225114,229480,231466,234209
,,,,,,
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",620644,630998,650146,660211,668818
,,,,,,
17860,"Columbia, MO (Metropolitan Statistical Area)",158089,160565,163165,165847,168530
,,,,,,
17900,"Columbia, SC (Metropolitan Statistical Area)",745740,759400,769655,776602,784531
,,,,,,
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",286985,292968,295739,301938,310935
,,,,,,
18020,"Columbus, IN (Metropolitan Statistical Area)",76080,76566,76865,77668,78966
,,,,,,
18140,"Columbus, OH (Metropolitan Statistical Area)",1865647,1887548,1906243,1925419,1944937
,,,,,,
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",423168,427262,428018,430883,436709
,,,,,,
18700,"Corvallis, OR (Metropolitan Statistical Area)",84150,85390,85517,86012,86436
,,,,,,
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",235315,235687,236014,239050,247841
,,,,,,
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",102462,103181,103233,102594,101813
,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",6211115,6341740,6452758,6570951,6702801
,,,,,,
19140,"Dalton, GA (Metropolitan Statistical Area)",140415,140897,142311,142419,142465
,,,,,,
19180,"Danville, IL (Metropolitan Statistical Area)",81930,81710,81596,81383,80715
,,,,,,
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",175827,179406,183223,186727,190675
,,,,,,
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",376467,378108,380267,381069,382590
,,,,,,
19380,"Dayton, OH (Metropolitan Statistical Area)",800209,798895,801899,802970,803185
,,,,,,
19460,"Decatur, AL (Metropolitan Statistical Area)",151890,153269,153862,153971,153934
,,,,,,
