GeoFips,GeoName,2001,2002,2003,2004,2005
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",212461,214532,217483,219215,221400
,,,,,,
16620,"Charleston, WV (Metropolitan Statistical Area)",233423,232093,231566,230874,229041
,,,,,,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",556901,565179,573376,587231,598313
,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1769476,1806638,1841489,1880010,1934168
,,,,,,
16820,"Charlottesville, VA (Metropolitan Statistical Area)",193611,196350,198602,200985,204975
,,,,,,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",481798,485957,490089,494709,499564
,,,,,,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",82554,83226,84084,85427,85732
,,,,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",9169580,9206032,9233303,9260676,9276302
,,,,,,
17020,"Chico, CA (Metropolitan Statistical Area)",206193,209120,211481,213065,214752
,,,,,,
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2012228,2020396,2031529,2042753,2054879
,,,,,,
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",223001,224096,223891,228899,237633
,,,,,,
17420,"Cleveland, TN (Metropolitan Statistical Area)",105295,105979,106754,108099,109410
,,,,,,
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2141787,2136201,2131150,2122934,2111699
,,,,,,
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",111542,113667,116512,121002,125972
,,,,,,
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",188315,192016,196234,199374,203500
,,,,,,
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",557057,565688,569231,578345,587778
,,,,,,
17860,"Columbia, MO (Metropolitan Statistical Area)",138181,140695,143019,145348,148786
,,,,,,
17900,"Columbia, SC (Metropolitan Statistical Area)",659125,666087,676083,690421,699160
,,,,,,
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",283646,285398,278969,284887,286358
,,,,,,
18020,"Columbus, IN (Metropolitan Statistical Area)",72110,71890,72299,72882,73660
,,,,,,
18140,"Columbus, OH (Metropolitan Statistical Area)",1706779,1726352,1749262,1769572,1791126
,,,,,,
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",402647,405692,406915,411936,416308
,,,,,,
18700,"Corvallis, OR (Metropolitan Statistical Area)",78491,80203,80322,80149,80943
,,,,,,
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",214955,220192,223227,230024,233437
,,,,,,
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",101596,101462,101457,101658,101172
,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",5376413,5482944,5575785,5666333,5776543
,,,,,,
19140,"Dalton, GA (Metropolitan Statistical Area)",124015,126208,128476,131307,133885
,,,,,,
19180,"Danville, IL (Metropolitan Statistical Area)",83646,83299,82996,82955,82728
,,,,,,
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",144875,147957,151509,156266,162183
,,,,,,
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",374561,373740,372975,372740,372876
,,,,,,
19380,"Dayton, OH (Metropolitan Statistical Area)",804479,804286,804926,805930,804766
,,,,,,
19460,"Decatur, AL (Metropolitan Statistical Area)",146552,146464,147386,147324,148399
,,,,,,
19500,"Decatur, IL (Metropolitan Statistical Area)",113604,112564,111572,111181,111083
,,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",505047,516153,529021,546232,563305
,,,,,,
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",2218759,2266781,2284876,2304818,2332749
,,,,,,
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",489761,496276,503406,511257,521578
,,,,,,
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4461855,4456433,4453371,4445887,4431048
,,,,,,
20020,"Dothan, AL (Metropolitan Statistical Area)",131413,131967,133586,135057,136643
,,,,,,
20100,"Dover, DE (Metropolitan Statistical Area)",129228,131824,134605,139342,144585
,,,,,,
20220,"Dubuque, IA (Metropolitan Statistical Area)",88932,89132,90012,90462,90769
,,,,,,
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",276946,276852,277209,277087,276682
,,,,,,
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",435229,441780,446402,451323,458287
,,,,,,
